Channel,Gain,Time (sec),Time (hr),Well,AFU,uM,Excitation,Emission
OD600,-1,745,0.206944444,H11,0.091,0.091,600,-1
OD600,-1,745,0.206944444,H12,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,A1,0.099,0.099,600,-1
OD600,-1,1045,0.290277778,A2,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,A3,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,A4,0.095,0.095,600,-1
OD600,-1,1045,0.290277778,A5,0.091,0.091,600,-1
OD600,-1,1045,0.290277778,A6,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,A7,0.097,0.097,600,-1
OD600,-1,1045,0.290277778,A8,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,A9,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,A10,0.1,0.1,600,-1
OD600,-1,1045,0.290277778,A11,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,A12,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,B1,0.102,0.102,600,-1
OD600,-1,1045,0.290277778,B2,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,B3,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,B4,0.102,0.102,600,-1
OD600,-1,1045,0.290277778,B5,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,B6,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,B7,0.1,0.1,600,-1
OD600,-1,1045,0.290277778,B8,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,B9,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,B10,0.104,0.104,600,-1
OD600,-1,1045,0.290277778,B11,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,B12,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,C1,0.1,0.1,600,-1
OD600,-1,1045,0.290277778,C2,0.1,0.1,600,-1
OD600,-1,1045,0.290277778,C3,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,C4,0.099,0.099,600,-1
OD600,-1,1045,0.290277778,C5,0.098,0.098,600,-1
OD600,-1,1045,0.290277778,C6,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,C7,0.101,0.101,600,-1
OD600,-1,1045,0.290277778,C8,0.101,0.101,600,-1
OD600,-1,1045,0.290277778,C9,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,C10,0.1,0.1,600,-1
OD600,-1,1045,0.290277778,C11,0.101,0.101,600,-1
OD600,-1,1045,0.290277778,C12,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,D1,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,D2,0.09,0.09,600,-1
OD600,-1,1045,0.290277778,D3,0.09,0.09,600,-1
OD600,-1,1045,0.290277778,D4,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,D5,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,D6,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,D7,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,D8,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,D9,0.098,0.098,600,-1
OD600,-1,1045,0.290277778,D10,0.095,0.095,600,-1
OD600,-1,1045,0.290277778,D11,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,D12,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,E1,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,E2,0.086,0.086,600,-1
OD600,-1,1045,0.290277778,E3,0.091,0.091,600,-1
OD600,-1,1045,0.290277778,E4,0.095,0.095,600,-1
OD600,-1,1045,0.290277778,E5,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,E6,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,E7,0.094,0.094,600,-1
OD600,-1,1045,0.290277778,E8,0.09,0.09,600,-1
OD600,-1,1045,0.290277778,E9,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,E10,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,E11,0.089,0.089,600,-1
OD600,-1,1045,0.290277778,E12,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,F1,0.086,0.086,600,-1
OD600,-1,1045,0.290277778,F2,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,F3,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,F4,0.086,0.086,600,-1
OD600,-1,1045,0.290277778,F5,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,F6,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,F7,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,F8,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,F9,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,F10,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,F11,0.088,0.088,600,-1
OD600,-1,1045,0.290277778,F12,0.087,0.087,600,-1
OD600,-1,1045,0.290277778,G1,0.095,0.095,600,-1
OD600,-1,1045,0.290277778,G2,0.092,0.092,600,-1
OD600,-1,1045,0.290277778,G3,0.093,0.093,600,-1
OD600,-1,1045,0.290277778,G4,0.091,0.091,600,-1
